RESUMER ZONES HYDROTEL VERSION;4.3.1.0000

UHRH ID; TYPE; ALTITUDE MOYENNE (m); PENTE MOYENNE (ratio); ORIENTATION MOYENNE; NB PIXEL; SUPERFICIE (km2); LONGITUDE; LATITUDE
249;SOUS-BASSIN;95.000000;0.010000;8;3;0.001200;-74.78386;45.27673
250;SOUS-BASSIN;97.348839;0.027574;8;43;0.017200;-74.78477;45.27773
251;SOUS-BASSIN;102.517555;0.021450;8;2193;0.877200;-74.79084;45.27600
252;SOUS-BASSIN;101.374214;0.019238;4;5553;2.221200;-74.78201;45.26583
253;SOUS-BASSIN;98.814812;0.013304;5;297;0.118800;-74.79342;45.27040
254;SOUS-BASSIN;98.280304;0.018950;1;132;0.052800;-74.79668;45.27019
255;SOUS-BASSIN;111.444351;0.013355;7;1222;0.488800;-74.80477;45.27912
256;SOUS-BASSIN;106.246841;0.017259;1;713;0.285200;-74.80320;45.27404
257;SOUS-BASSIN;113.915344;0.007718;8;567;0.226800;-74.81050;45.27883
258;SOUS-BASSIN;103.551430;0.016461;6;700;0.280000;-74.79483;45.27589
259;SOUS-BASSIN;106.289253;0.020284;1;484;0.193600;-74.79892;45.27705
260;SOUS-BASSIN;110.358971;0.008223;6;39;0.015600;-74.79769;45.28060
261;SOUS-BASSIN;114.627274;0.010714;8;330;0.132000;-74.80264;45.28349
262;SOUS-BASSIN;113.413887;0.014667;8;360;0.144000;-74.79949;45.28324
263;SOUS-BASSIN;110.866669;0.019451;8;15;0.006000;-74.80062;45.28034
264;SOUS-BASSIN;109.333336;0.028451;2;3;0.001200;-74.79991;45.27982
265;SOUS-BASSIN;112.171974;0.015149;1;157;0.062800;-74.80219;45.28008
266;SOUS-BASSIN;96.777779;0.012926;8;72;0.028800;-74.79712;45.26845
267;SOUS-BASSIN;97.937500;0.031412;4;96;0.038400;-74.79627;45.26701
268;SOUS-BASSIN;107.563210;0.013240;8;2120;0.848000;-74.80806;45.27240
269;SOUS-BASSIN;99.577431;0.010753;3;381;0.152400;-74.80244;45.26654
270;SOUS-BASSIN;110.672874;0.012648;1;1718;0.687200;-74.81519;45.27155
271;SOUS-BASSIN;98.870689;0.020827;1;348;0.139200;-74.80103;45.26416
272;SOUS-BASSIN;99.555557;0.035807;4;306;0.122400;-74.79821;45.26367
273;SOUS-BASSIN;102.068130;0.016398;8;1365;0.546000;-74.81001;45.26354
274;SOUS-BASSIN;101.421249;0.020552;3;1073;0.429200;-74.80448;45.25745
275;SOUS-BASSIN;108.596252;0.014936;8;6197;2.478800;-74.82456;45.26359
276;SOUS-BASSIN;108.656006;0.029981;3;4410;1.764000;-74.82305;45.25261
277;SOUS-BASSIN;112.006317;0.016545;5;1741;0.696400;-74.83362;45.26720
278;SOUS-BASSIN;112.004440;0.008302;8;6081;2.432400;-74.84169;45.27375
279;SOUS-BASSIN;113.859276;0.007310;5;3617;1.446800;-74.82746;45.28725
280;SOUS-BASSIN;113.602409;0.006537;1;3491;1.396400;-74.83765;45.28632
281;SOUS-BASSIN;115.682976;0.009304;6;2350;0.940000;-74.82810;45.29693
282;SOUS-BASSIN;113.848976;0.010640;4;735;0.294000;-74.82177;45.27785
283;SOUS-BASSIN;113.427452;0.009810;8;765;0.306000;-74.82408;45.28043
284;SOUS-BASSIN;114.611008;0.008176;4;527;0.210800;-74.81425;45.28524
285;SOUS-BASSIN;115.027054;0.007895;7;1885;0.754000;-74.81744;45.29001
286;SOUS-BASSIN;115.043747;0.006167;5;1600;0.640000;-74.80881;45.28938
287;SOUS-BASSIN;113.468086;0.007507;2;47;0.018800;-74.81868;45.28138
288;SOUS-BASSIN;113.875000;0.012850;5;56;0.022400;-74.81773;45.28259
289;SOUS-BASSIN;114.848740;0.006004;5;476;0.190400;-74.81462;45.28176
290;SOUS-BASSIN;112.636070;0.011630;8;9554;3.821600;-74.85448;45.26480
291;SOUS-BASSIN;115.672218;0.020931;2;8771;3.508400;-74.85480;45.25050
292;SOUS-BASSIN;114.346687;0.009998;8;2097;0.838800;-74.86179;45.25737
293;SOUS-BASSIN;102.606560;0.029599;1;305;0.122000;-74.81153;45.25581
294;SOUS-BASSIN;101.965935;0.019859;5;499;0.199600;-74.80824;45.25618
295;SOUS-BASSIN;112.311783;0.025009;3;2011;0.804400;-74.80795;45.24941
296;SOUS-BASSIN;99.503029;0.014621;3;165;0.066000;-74.80066;45.25796
297;SOUS-BASSIN;99.905663;0.021157;6;159;0.063600;-74.79816;45.26124
298;SOUS-BASSIN;98.000000;0.002500;3;6;0.002400;-74.79764;45.25896
299;SOUS-BASSIN;100.287582;0.016760;6;153;0.061200;-74.79639;45.26053
300;SOUS-BASSIN;100.393257;0.012576;6;267;0.106800;-74.79441;45.25978
301;SOUS-BASSIN;103.736443;0.024199;2;664;0.265600;-74.79843;45.25497
302;SOUS-BASSIN;104.037544;0.017787;5;2424;0.969600;-74.78817;45.25677
303;SOUS-BASSIN;107.019646;0.029855;3;1120;0.448000;-74.79372;45.25141
304;SOUS-BASSIN;94.638657;0.024019;4;476;0.190400;-74.74779;45.29618
305;SOUS-BASSIN;98.176498;0.024007;1;4595;1.838000;-74.75603;45.30527
306;SOUS-BASSIN;98.597458;0.022563;7;6059;2.423600;-74.73706;45.30404
307;SOUS-BASSIN;94.515114;0.035261;2;1555;0.622000;-74.74784;45.27500
308;SOUS-BASSIN;93.037849;0.041157;5;1004;0.401600;-74.74367;45.27460
309;SOUS-BASSIN;95.544426;0.022142;4;709;0.283600;-74.73549;45.26710
310;SOUS-BASSIN;97.048546;0.025229;7;1030;0.412000;-74.73512;45.27192
311;SOUS-BASSIN;98.816261;0.017422;5;996;0.398400;-74.72903;45.26832
312;SOUS-BASSIN;99.991066;0.019925;1;9627;3.850800;-74.75821;45.26494
313;SOUS-BASSIN;96.058640;0.023882;4;3189;1.275600;-74.74978;45.25629
314;SOUS-BASSIN;103.741119;0.015491;8;197;0.078800;-74.76316;45.24814
