ETATS ACHEMINEMENT RIVIERE MILIEUX HUMIDES RIVERAIN;ONDE CINEMATIQUE MODIFIEE( 4.3.6.0033 )
DATE_HEURE;2020-07-01 00:00

TRONCON;WET V;WET A;WET D;OCM QAMONT 1;OCM QAPPORTLAT 1;OCM QAVAL 1;OCM QAMONT 2;OCM QAPPORTLAT 2;OCM QAVAL 2;OCM QAMONT 3;OCM QAPPORTLAT 3;OCM QAVAL 3
1;2047.857666015625;10239.749023437500;0.199991002679;0.570012569427;0.011242894456;0.585822463036;0.585822463036;0.005690797698;0.591592669487;0.591592669487;0.000000000000;0.591592669487
64;0.001000000047;31.271223068237;0.000031978278;0.311686426401;0.000230106816;0.314768522978;0.314768522978;0.000026174694;0.314794719219;0.314794719219;0.000000000000;0.314794719219
72;0.048888280988;270.424560546875;0.000180783405;0.266050040722;0.003970662598;0.279412478209;0.279412478209;0.000153241155;0.279565721750;0.279565721750;0.000000000000;0.279565721750
73;0.001000000047;112.223091125488;0.000008910823;0.008688005619;0.000092720154;0.008782474324;0.008782474324;0.000390022062;0.009172496386;0.009172496386;0.000000000000;0.009172496386
74;0.001000000047;50.205657958984;0.000019918074;0.007218423299;0.000020134532;0.007240779698;0.007240779698;0.000011082042;0.007251861505;0.007251861505;0.000000000000;0.007251861505
76;0.001000000047;289.951263427734;0.000003448855;0.000000000000;0.001099502319;0.001099502319;0.001099502319;0.000244232477;0.001343734795;0.001343734795;0.000000000000;0.001343734795
77;0.744441151619;756.055847167969;0.000984637765;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000113050708;0.000113050708;0.000113050708;0.001522435923;0.001635690802
78;9.945791244507;2416.329101562500;0.004116075113;0.000000000000;0.000459079340;0.000459079485;0.000459079485;0.000375911972;0.000834991457;0.000834991457;0.001580194687;0.002427025000
79;0.001000000047;517.347045898438;0.000001932938;0.000000000000;0.001108219847;0.001108220196;0.001108220196;0.000327924325;0.001436144463;0.001436144463;0.000000000000;0.001436144463
80;76.049903869629;5415.336914062500;0.014043428004;0.241755932570;0.003500159131;0.255632221699;0.255632221699;0.001245341264;0.256877541542;0.256877541542;0.000000000000;0.256877541542
81;0.001000000047;42.060562133789;0.000023775241;0.240171268582;0.000141494864;0.241335332394;0.241335332394;0.000068132613;0.241403460503;0.241403460503;0.000000000000;0.241403460503
82;0.007907970808;13.117369651794;0.000602862448;0.000000000000;0.002029946772;0.002029947005;0.002029947005;0.000000312914;0.002030259930;0.002030259930;0.000069924063;0.002100184094
83;1.366171598434;3392.962646484375;0.000402648584;0.229297190905;0.001453242148;0.233138814569;0.233138814569;0.000873597455;0.234012410045;0.234012410045;0.001453242148;0.238071084023
84;0.070729494095;1430.745361328125;0.000049435417;0.224189966917;0.000415442890;0.225776135921;0.225776135921;0.001005444443;0.226781576872;0.226781576872;0.000415442890;0.228424668312
85;0.001000000047;73.351066589355;0.000013633065;0.217372030020;0.000000000000;0.217372030020;0.217372030020;0.000014095041;0.217386126518;0.217386126518;0.000000000000;0.217386126518
