ETATS ACHEMINEMENT RIVIERE;ONDE CINEMATIQUE MODIFIEE( 4.3.6.0033 )
DATE_HEURE;2020-07-01 00:00

TRONCON;DEBIT AMONT;DEBIT AVAL;APPORTLAT;HAUTEUR
1;0.570012569427;0.591592669487;0.017013216391;0.106109879910945892334
2;0.569951832294;0.570012569427;0.000001318717;0.103926979005336761475
3;0.000000000000;0.002452515997;0.002452515997;0.034060470759868621826
4;0.566395223141;0.567499339581;0.000423421036;0.103683143854141235352
5;0.014934560284;0.014944981784;0.000010420743;0.039955314248800277710
6;0.000000000000;0.014919443987;0.014919442125;0.090856820344924926758
7;0.000000000000;0.000015116339;0.000015116340;0.009188596159219741821
8;0.542293250561;0.551450252533;0.005030815955;0.102068163454532623291
9;0.000000000000;0.000154342910;0.000154342837;0.009428396821022033691
10;0.541315436363;0.542138934135;0.000116076291;0.101153299212455749512
11;0.000000000000;0.001189264935;0.001189264702;0.021731419488787651062
12;0.539197087288;0.540126144886;0.000084626612;0.100989170372486114502
13;0.000000000000;0.000065399632;0.000065399596;0.004238204564899206161
14;0.536862671375;0.539131700993;0.000805626041;0.075641468167304992676
15;0.000000000000;0.000043178825;0.000043178781;0.005564427468925714493
16;0.536747336388;0.536819517612;0.000000000000;0.100740358233451843262
17;0.534630894661;0.536588490009;0.000248259021;0.100714340806007385254
18;0.000000000000;0.000224150557;0.000224150572;0.006973833777010440826
19;0.531768918037;0.534406721592;0.000254815735;0.100560404360294342041
20;0.527886271477;0.529829144478;0.000219923269;0.100195661187171936035
21;0.000000000000;0.000159803007;0.000159803007;0.005087007768452167511
22;0.526814877987;0.527726471424;0.000098165918;0.100018106400966644287
23;0.000140474891;0.000143743964;0.000003268848;0.004018368199467658997
24;0.000000000000;0.000062067571;0.000062065999;0.006809392478317022324
25;0.000000000000;0.000078407320;0.000078404897;0.008419849909842014313
26;0.525364637375;0.526671111584;0.000153599394;0.068890340626239776611
27;0.000000000000;0.000367422035;0.000367421977;0.015819653868675231934
28;0.524284243584;0.524997234344;0.000108843815;0.099799148738384246826
29;0.516531050205;0.522461712360;0.002129159402;0.099540226161479949951
30;0.000000000000;0.001882587443;0.001883175573;0.008516056463122367859
31;0.510934233665;0.514648437500;0.001060373150;0.098796047270298004150
32;0.000000000000;0.000346814719;0.000346814719;0.008715138770639896393
33;0.509244441986;0.510587394238;0.000118110416;0.078319683670997619629
34;0.000000000000;0.000083538289;0.000083537125;0.006709504406899213791
35;0.507927298546;0.509160876274;0.000073186573;0.098253354430198669434
36;0.000000000000;0.000293105142;0.000293105113;0.008527788333594799042
37;0.507543742657;0.507634222507;0.000000462963;0.098167270421981811523
38;0.494976311922;0.500724017620;0.001382667688;0.094580300152301788330
39;0.493431150913;0.494022876024;0.000030644402;0.096758678555488586426
40;0.461617648602;0.464871466160;0.000120354307;0.094198346138000488281
41;0.452658385038;0.461529046297;0.001481438754;0.093820914626121520996
42;0.436535567045;0.437993913889;0.000050152652;0.092203408479690551758
43;0.430003196001;0.435912758112;0.000607195776;0.091969929635524749756
44;0.000000000000;0.023436065763;0.023437084630;0.037922792136669158936
45;0.400227457285;0.406567126513;0.001887894701;0.091676078736782073975
46;0.394379168749;0.399716824293;0.000259211549;0.091122634708881378174
47;0.000000000000;0.011052095331;0.011052095331;0.034491568803787231445
48;0.377210885286;0.383327066898;0.000405900122;0.089766412973403930664
49;0.370322287083;0.376576691866;0.000371166039;0.088908530771732330322
50;0.354253053665;0.364445775747;0.000949653564;0.087394818663597106934
51;0.338268220425;0.350589752197;0.003032917622;0.085567735135555267334
52;0.336234092712;0.336738586426;0.000039152321;0.083761438727378845215
53;0.328613251448;0.331360548735;0.000137667696;0.083524264395236968994
54;0.000000000000;0.000054487857;0.000054487857;0.003426720155403017998
55;0.326279968023;0.328558772802;0.000200647773;0.081151217222213745117
56;0.000000000000;0.000078222765;0.000078222743;0.004123170394450426102
57;0.324548065662;0.326201736927;0.000046176981;0.082861393690109252930
58;0.319843590260;0.324461638927;0.000534824270;0.082625821232795715332
59;0.319415152073;0.319737613201;0.000004177173;0.082050636410713195801
60;0.000000000000;0.000162943848;0.000162943819;0.006300709210336208344
61;0.316592663527;0.319252222776;0.000210829196;0.081711612641811370850
62;0.315307080746;0.316369563341;0.000074491334;0.081619977951049804688
63;0.000000000000;0.000512374216;0.000512374274;0.010601062327623367310
64;0.311686426401;0.314794719219;0.000255725958;0.081464961171150207520
65;0.296615719795;0.300745904446;0.000553109858;0.080745324492454528809
66;0.000000000000;0.000371245784;0.000371244620;0.006277028005570173264
67;0.289730370045;0.296244472265;0.000963468920;0.080350950360298156738
68;0.284851104021;0.289057105780;0.000327438727;0.079507283866405487061
69;0.000000000000;0.003601198317;0.003601198085;0.019844336435198783875
70;0.280717283487;0.281249910593;0.000044326756;0.055935580283403396606
71;0.000000000000;0.001151547418;0.001151547418;0.013261800631880760193
72;0.266050040722;0.279565721750;0.004123825580;0.078774787485599517822
73;0.008688005619;0.009172496386;0.000482186646;0.022642031311988830566
74;0.007218423299;0.007251861505;0.000028620350;0.027774361893534660339
75;0.002979425713;0.004791398067;0.001792554744;0.024379586800932884216
76;0.000000000000;0.001343734795;0.001343179145;0.014547522179782390594
77;0.000000000000;0.001635690802;0.001633893698;0.013427791185677051544
78;0.000000000000;0.002427025000;0.002329299692;0.020309900864958763123
79;0.000000000000;0.001436144463;0.001435588696;0.010819857940077781677
80;0.241755932570;0.256877541542;0.004028964788;0.077460072934627532959
81;0.240171268582;0.241403460503;0.000209071921;0.075529433786869049072
82;0.000000000000;0.002100184094;0.002100181067;0.015836928039789199829
83;0.229297190905;0.238071084023;0.003779445309;0.075313389301300048828
84;0.224189966917;0.228424668312;0.001836260315;0.074869982898235321045
85;0.217372030020;0.217386126518;0.000007827321;0.075551576912403106689
86;0.210720404983;0.215647056699;0.001939028734;0.075825944542884826660
87;0.200189307332;0.200612887740;0.000282603200;0.074747733771800994873
88;0.000000000000;0.002758230316;0.002757110167;0.018732786178588867188
89;0.196749985218;0.197431072593;0.000137543466;0.075388029217720031738
90;0.181272551417;0.191545009613;0.007622095756;0.075388006865978240967
91;0.180844977498;0.181272551417;0.000246564945;0.073400467634201049805
92;0.176399052143;0.176659792662;0.000033432236;0.074518293142318725586
93;0.000000000000;0.000732616347;0.000732371060;0.013052354566752910614
94;0.171204954386;0.175666436553;0.002891008044;0.074728056788444519043
95;0.000000000000;0.002392952563;0.002207027283;0.018346769735217094421
96;0.160893931985;0.168812006712;0.006856069434;0.074756212532520294189
97;0.058395538479;0.058465421200;0.000069326154;0.045518964529037475586
98;0.041745450348;0.047479577363;0.004062159453;0.041486047208309173584
99;0.032539352775;0.035974387079;0.002911779098;0.037933979183435440063
100;0.030392823741;0.032192129642;0.001637493027;0.036924395710229873657
101;0.024882810190;0.025773650035;0.000823620358;0.035449188202619552612
102;0.022379476577;0.023302141577;0.000910963048;0.035075381398200988770
103;0.000000000000;0.004602924455;0.004737006966;0.031154014170169830322
104;0.017513833940;0.017776552588;0.000245687726;0.030066048726439476013
105;0.000000000000;0.000214211803;0.000214211817;0.006343042012304067612
106;0.016637660563;0.017299622297;0.000639041304;0.030934449285268783569
107;0.000000000000;0.000794545631;0.000794545806;0.011200278066098690033
108;0.015754839405;0.015843115747;0.000067738656;0.030358752235770225525
109;0.000000000000;0.000034455854;0.000015606447;0.006721835583448410034
110;0.014482719824;0.015720384195;0.001257474651;0.030259765684604644775
111;0.000893734628;0.000987673411;0.000064882290;0.014214077964425086975
112;0.000000000000;0.000592085999;0.000592086115;0.011073601432144641876
113;0.000107784792;0.000301648630;0.000193863641;0.007455579470843076706
114;0.000000000000;0.000041632265;0.000041632262;0.003752060001716017723
115;0.000000000000;0.000066152526;0.000066152526;0.011524876579642295837
116;0.013472636230;0.013495046645;0.000016926188;0.029376914724707603455
117;0.000000000000;0.000370315160;0.000370315160;0.008183866739273071289
118;0.012972489931;0.013102320954;0.000110843968;0.029603417962789535522
119;0.011471658014;0.012073282152;0.000562088913;0.029141258448362350464
120;0.007615466602;0.011158755049;0.003492015880;0.028742635622620582581
121;0.001601060154;0.004105320200;0.001589951338;0.021602723747491836548
122;0.000000000000;0.001091215061;0.001412980724;0.013648009859025478363
123;0.000229266647;0.000509845035;0.000252096012;0.010201534256339073181
124;0.000000000000;0.000191521554;0.000191409592;0.006598696112632751465
125;0.000000000000;0.000037745089;0.000037745085;0.005097440909594297409
126;0.000000000000;0.003510146402;0.003507843241;0.020155562087893486023
127;0.000000000000;0.000312902528;0.000312869612;0.010104943066835403442
128;0.000739392824;0.000899207778;0.000187430473;0.014976348727941513062
129;0.000000000000;0.000073531148;0.000034891404;0.009038200601935386658
130;0.000000000000;0.000665861706;0.000607402239;0.013689228333532810211
131;0.000000000000;0.001580668264;0.001554956427;0.016036342829465866089
132;0.004127386492;0.004619173240;0.000491224695;0.023402275517582893372
133;0.000000000000;0.000569922267;0.000569912838;0.012636977247893810272
134;0.000963732018;0.003557464341;0.002488730708;0.021530371159315109253
135;0.000000000000;0.000905742287;0.000905741239;0.012521180324256420135
136;0.000000000000;0.000057989761;0.000057989757;0.005769001785665750504
137;0.000000000000;0.000347224472;0.000299857173;0.008555601350963115692
138;0.004848203156;0.005771061871;0.000865653972;0.028965121135115623474
139;0.000000000000;0.000337372709;0.000288629672;0.008796712383627891541
140;0.003137846244;0.004510830622;0.001132957870;0.032152451574802398682
141;0.000000000000;0.002218761947;0.002218761947;0.032573733478784561157
142;0.000879067229;0.000919084239;0.000036700007;0.014528332278132438660
143;0.000591190357;0.000610100746;0.000016223572;0.012347393669188022614
144;0.000357984129;0.000415812247;0.000057845558;0.010908304713666439056
145;0.000000000000;0.000284329697;0.000284312002;0.008530342020094394684
146;0.000000000000;0.000073654424;0.000073654432;0.007005320861935615540
147;0.000000000000;0.000175378125;0.000169174557;0.011367747560143470764
148;0.000000000000;0.000268966513;0.000268965727;0.012509413994848728180
149;0.000000000000;0.010915961117;0.010359861888;0.042307931929826736450
150;0.096126422286;0.102428510785;0.005213974509;0.078895777463912963867
151;0.079249508679;0.096126422286;0.002502219984;0.060547254979610443115
152;0.074097268283;0.077274769545;0.003165031550;0.082675881683826446533
153;0.058311812580;0.074097268283;0.003573155031;0.053325343877077102661
154;0.058189999312;0.058311812580;0.000121259960;0.080011069774627685547
155;0.001356607885;0.002642240375;0.000609877752;0.027572093531489372253
156;0.000417896954;0.001356607885;0.000508863013;0.006827509030699729919
157;0.000000000000;0.000417896954;0.000417896954;0.014676594175398349762
158;0.055243395269;0.055547758937;0.000530393212;0.082192890346050262451
159;0.001271842513;0.055243395269;0.006446921267;0.048491936177015304565
160;0.000000000000;0.000488892430;0.000440845150;0.010447602719068527222
161;0.000000000000;0.000611447031;0.000555469305;0.012893171980977058411
162;0.000000000000;0.000171502994;0.000171508000;0.011057398281991481781
163;0.000000000000;0.001974738901;0.001974739367;0.022066574543714523315
164;0.000000000000;0.004185186233;0.003940701485;0.020010931417346000671
165;0.000000000000;0.005204968154;0.005191733129;0.024766596034169197083
166;0.000000000000;0.010107510723;0.010106696747;0.039455689489841461182
167;0.000000000000;0.001724975999;0.001692076912;0.016981683671474456787
168;0.005231638905;0.006803837605;0.001526278211;0.024520698934793472290
169;0.000000000000;0.002870506141;0.002893734723;0.019685979932546615601
170;0.000000000000;0.002361132763;0.002361130435;0.023458793759346008301
171;0.000000000000;0.000872526492;0.000872506527;0.015556847676634788513
172;0.000000000000;0.000352472998;0.000352448958;0.007641206029802560806
173;0.000000000000;0.000673251983;0.000673251925;0.007676639128476381302
174;0.010835711844;0.010940524749;0.000104628169;0.025692598894238471985
175;0.010628757067;0.010715160519;0.000086308806;0.033850409090518951416
176;0.000000000000;0.004628777038;0.004627702292;0.021018996834754943848
177;0.000000000000;0.005999980029;0.005999980029;0.020890211686491966248
178;0.000000000000;0.000120551013;0.000120551005;0.005092425271868705750
179;0.000000000000;0.000223102834;0.000223102848;0.008874284103512763977
180;0.000000000000;0.000105978019;0.000105867679;0.004832983948290348053
181;0.000000000000;0.000086439570;0.000086439512;0.004998333752155303955
182;0.000000000000;0.004873540718;0.004873539321;0.023659827187657356262
183;0.000000000000;0.001529625733;0.001528627705;0.020142523571848869324
184;0.000000000000;0.003663303331;0.003663016949;0.039408907294273376465
185;0.000000000000;0.005876518320;0.005876518320;0.040257759392261505127
186;0.000000000000;0.000634205819;0.000634205760;0.011468573473393917084
187;0.000000000000;0.000510641432;0.000510619022;0.013542558066546916962
188;0.000000000000;0.000622797525;0.000622797466;0.014892590232193470001
189;0.000000000000;0.014664463699;0.014662303962;0.042019072920083999634
190;0.000000000000;0.000088597226;0.000088441513;0.006989435292780399323
191;0.000000000000;0.028559690341;0.028559690341;0.067935258150100708008
192;0.000000000000;0.000953422161;0.000953422103;0.027202453464269638062
193;0.000000000000;0.006819732022;0.006819732022;0.056708727031946182251
194;0.000000000000;0.001822508755;0.001822508755;0.029099743813276290894
195;0.000000000000;0.001939784386;0.001939784270;0.021701402962207794189
196;0.000000000000;0.000158834548;0.000158834533;0.017281653359532356262
