PARAMETRES HYDROTEL VERSION;4.3.1.0000

SOUS MODELE;THORNTHWAITE

UHRH ID;INDICE THERMIQUE;FACTEUR DEPHASAGE;COEFFICIENT MULTIPLICATIF D'OPTIMISATION
387;30;80;1
388;30;80;1
389;30;80;1
390;30;80;1
391;30;80;1
392;30;80;1
393;30;80;1
394;30;80;1
395;30;80;1
396;30;80;1
397;30;80;1
398;30;80;1
399;30;80;1
400;30;80;1
401;30;80;1
402;30;80;1
403;30;80;1
404;30;80;1
405;30;80;1
406;30;80;1
407;30;80;1
408;30;80;1
409;30;80;1
410;30;80;1
411;30;80;1
412;30;80;1
413;30;80;1
414;30;80;1
415;30;80;1
416;30;80;1
417;30;80;1
418;30;80;1
419;30;80;1
420;30;80;1
421;30;80;1
422;30;80;1
423;30;80;1
424;30;80;1
425;30;80;1
426;30;80;1
427;30;80;1
428;30;80;1
429;30;80;1
430;30;80;1
431;30;80;1
432;30;80;1
433;30;80;1
434;30;80;1
435;30;80;1
436;30;80;1
437;30;80;1
438;30;80;1
439;30;80;1
440;30;80;1
441;30;80;1
442;30;80;1
443;30;80;1
444;30;80;1
445;30;80;1
446;30;80;1
447;30;80;1
448;30;80;1
449;30;80;1
450;30;80;1
451;30;80;1
452;30;80;1
453;30;80;1
454;30;80;1
455;30;80;1
456;30;80;1
457;30;80;1
458;30;80;1
459;30;80;1
460;30;80;1
461;30;80;1
462;30;80;1
463;30;80;1
464;30;80;1
465;30;80;1
466;30;80;1
467;30;80;1
468;30;80;1
469;30;80;1
470;30;80;1
471;30;80;1
472;30;80;1
473;30;80;1
474;30;80;1
475;30;80;1
476;30;80;1
477;30;80;1
478;30;80;1
479;30;80;1
480;30;80;1
481;30;80;1
482;30;80;1
483;30;80;1
484;30;80;1
485;30;80;1
486;30;80;1
487;30;80;1
488;30;80;1
489;30;80;1
490;30;80;1
491;30;80;1
492;30;80;1
493;30;80;1
494;30;80;1
495;30;80;1
