TronconId; uhrh_a(km2); wet_a(km2); wetaup_fr; wetadra_fr; wetdown_fr; longueur(m); longueur_amont(m); longueur_aval(m); wetdnor(m); wetdmax(m); frac; ksat_bk; ksat_bs; th_aq; sauvegarde
137; 1.7824; 0.2976; 0.358954; 0.282092; 0.358954; 367.12; 467.151; 467.151; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
138; 1.7292; 0.0988; 0.293662; 0.412676; 0.293662; 724.065; 515.247; 515.247; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
139; 1.8748; 0.2412; 0.345957; 0.308086; 0.345957; 499.975; 561.434; 561.434; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
140; 0.7276; 0.1536; 0.100605; 0.798791; 0.100605; 1441.23; 181.517; 181.517; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
142; 0.1344; 0.002; 0; 0.267857; 0.732143; 100; 0; 324.853; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
144; 0.2364; 0.0348; 0.0482234; 0.903553; 0.0482234; 549.617; 29.3335; 29.3335; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
145; 1.0012; 0.1936; 0.00499401; 0.990012; 0.00499401; 699.22; 3.52714; 3.52714; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
146; 0.238; 0.0388; 0.332773; 0.334454; 0.332773; 202.771; 201.752; 201.752; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
147; 0.2756; 0.0168; 0.456289; 0.303338; 0.240373; 80; 373.137; 196.569; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
149; 7.4172; 0.5308; 0.782721; 0.217279; 0; 2940; 3755.05; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
150; 1.354; 0.0132; 0.594222; 0.0697194; 0.336059; 580; 1449.41; 819.706; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
152; 2.892; 1.2472; 0.0201245; 0.959751; 0.0201245; 4889.74; 102.53; 102.53; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
154; 0.3744; 0.2812; 0; 1; 0; 1042.84; 0; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
155; 1.0608; 0.8644; 0; 1; 0; 1607.7; 0; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
157; 0.6572; 0.2932; 0; 1; 0; 719.411; 0; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
158; 1.3004; 0.7892; 0.00138419; 0.997232; 0.00138419; 1921.77; 2.66748; 2.66748; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
160; 1.564; 0.5048; 0.151279; 0.697442; 0.151279; 1728.84; 374.993; 374.993; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
161; 1.7196; 0.5; 0.160502; 0.678995; 0.160502; 1099.57; 259.919; 259.919; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
162; 0.3344; 0.178; 0.000598086; 0.998804; 0.000598086; 605.549; 0.362604; 0.362604; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
163; 2.7352; 1.1368; 0.0344399; 0.93112; 0.0344399; 2914.36; 107.795; 107.795; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
165; 7.2804; 0.9144; 0.322812; 0.354376; 0.322812; 2043.52; 1861.5; 1861.5; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
166; 7.1968; 0.0056; 0.996276; 0.00372388; -1.11022e-16; 280; 2217.4; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
167; 4.3932; 0.1312; 0.260144; 0.148684; 0.591172; 620; 1137.7; 2585.39; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
168; 5.2644; 0.1476; 0.420591; 0.216625; 0.362784; 2500; 2012.25; 1735.69; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
169; 6.76; 0.1008; 0.95432; 0.0456805; 0; 320; 471.127; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
170; 2.9892; 0.0916; 0.718144; 0.0851064; 0.19675; 780; 917.696; 251.421; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
171; 1.8724; 0.0008; 0.999573; 0.000427259; 0; 40; 444.853; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
