PARAMETRES HYDROTEL VERSION;4.3.1.0000

SOUS MODELE;RAYONNEMENT NET

UHRH ID; ALBEDO (0.23 SURFACE REFERENCE); TRANSMISSIVITE ATMOSPHERIQUE (COEFFICIENT A); TRANSMISSIVITE ATMOSPHERIQUE (COEFFICIENT B); TRANSMISSIVITE ATMOSPHERIQUE (COEFFICIENT C); EMISSIVITE ATMOSPHERIQUE (COEFFICIENT A); EMISSIVITE ATMOSPHERIQUE (COEFFICIENT B); EMISSIVITE ATMOSPHERIQUE (COEFFICIENT C); EMISSIVITE DE LA SURFACE (COEFFICIENT A); EMISSIVITE DE LA SURFACE (COEFFICIENT B)
63;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
64;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
65;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
66;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
67;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
68;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
69;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
70;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
71;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
72;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
73;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
74;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
75;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
76;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
77;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
78;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
79;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
80;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
81;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
82;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
83;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
84;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
85;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
86;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
87;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
88;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
89;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
90;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
91;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
92;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
93;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
94;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
95;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
96;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
97;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
98;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
99;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
100;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
101;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
102;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
