PARAMETRES HYDROTEL VERSION;4.3.1.0000

SOUS MODELE;LINACRE

UHRH ID; TEMPERATURE MOIS PLUS FROID (C); TEMPERATURE MOIS PLUS CHAUD (C); ALBEDO (0.23 SURFACE REFERENCE); COEFFICIENT MULTIPLICATIF OPTIMISATION
448;-10;20;0.23;1
449;-10;20;0.23;1
450;-10;20;0.23;1
451;-10;20;0.23;1
452;-10;20;0.23;1
453;-10;20;0.23;1
454;-10;20;0.23;1
455;-10;20;0.23;1
456;-10;20;0.23;1
457;-10;20;0.23;1
458;-10;20;0.23;1
459;-10;20;0.23;1
460;-10;20;0.23;1
461;-10;20;0.23;1
462;-10;20;0.23;1
463;-10;20;0.23;1
464;-10;20;0.23;1
465;-10;20;0.23;1
466;-10;20;0.23;1
467;-10;20;0.23;1
468;-10;20;0.23;1
469;-10;20;0.23;1
470;-10;20;0.23;1
471;-10;20;0.23;1
472;-10;20;0.23;1
473;-10;20;0.23;1
474;-10;20;0.23;1
475;-10;20;0.23;1
476;-10;20;0.23;1
477;-10;20;0.23;1
478;-10;20;0.23;1
479;-10;20;0.23;1
480;-10;20;0.23;1
481;-10;20;0.23;1
482;-10;20;0.23;1
483;-10;20;0.23;1
484;-10;20;0.23;1
485;-10;20;0.23;1
486;-10;20;0.23;1
487;-10;20;0.23;1
488;-10;20;0.23;1
489;-10;20;0.23;1
490;-10;20;0.23;1
491;-10;20;0.23;1
492;-10;20;0.23;1
493;-10;20;0.23;1
494;-10;20;0.23;1
495;-10;20;0.23;1
