IdUhrh;Annee;Mois;Jour;Heure;Apport (mm);Evp (mm);Wetsep (m3);Wetvol (m3);Wetflwi (m3);Wetflwo (m3);Wetprod (mm)
26;2020;1;9;0;0.20;0.39;155.31528;0.00000;70.70056;0.00000;0.38
2;2020;1;10;0;0.42;1.19;464.06134;8529.30078;275.57541;151.25566;0.77
4;2020;1;10;0;0.43;1.19;55.70865;50.66510;32.83500;0.00000;0.22
11;2020;1;10;0;0.43;1.19;0.00000;29.15284;29.15284;0.00000;0.00
13;2020;1;10;0;0.43;1.19;42.24407;104.20717;18.49513;0.00000;0.04
17;2020;1;10;0;0.44;1.19;77.74947;1545.52637;64.12759;43.72515;0.20
19;2020;1;10;0;0.44;1.19;0.00000;0.11725;0.11725;0.00000;0.00
26;2020;1;10;0;0.44;1.19;0.00000;80.88070;80.88070;0.00000;0.00
2;2020;1;11;0;17.92;0.80;457.46277;11914.21484;3705.11572;527.35724;1.24
4;2020;1;11;0;17.24;0.80;48.50171;300.38037;230.49417;0.00000;0.19
11;2020;1;11;0;17.24;0.80;92.24798;215.09875;149.36174;0.00000;0.25
13;2020;1;11;0;18.27;0.80;39.16798;335.44501;212.34792;0.00000;0.04
17;2020;1;11;0;18.79;0.80;76.71985;2160.00000;639.46387;65.33276;0.24
19;2020;1;11;0;18.80;0.80;0.40995;1.19596;0.86279;0.00000;0.00
26;2020;1;11;0;18.84;0.80;215.91063;718.19165;522.90240;0.00000;0.52
2;2020;1;12;0;0.00;0.13;515.08844;11311.23633;375.90967;460.35956;1.22
4;2020;1;12;0;0.00;0.13;91.23122;248.13678;39.59703;0.00000;0.35
11;2020;1;12;0;0.00;0.13;187.52725;74.41579;48.09694;0.00000;0.52
13;2020;1;12;0;0.00;0.13;59.31485;295.97275;20.23879;0.00000;0.06
17;2020;1;12;0;0.00;0.13;86.40000;2160.00000;88.13277;1.15576;0.15
19;2020;1;12;0;0.00;0.13;0.93489;0.44275;0.18793;0.00000;0.01
26;2020;1;12;0;0.00;0.13;468.74384;366.31757;120.00092;0.00000;1.13
2;2020;1;13;0;0.00;0.22;505.67923;10734.85449;331.23785;396.31720;1.13
4;2020;1;13;0;0.00;0.22;85.24857;198.83942;36.89912;0.00000;0.33
11;2020;1;13;0;0.00;0.22;122.05276;0.00000;49.06755;0.00000;0.34
13;2020;1;13;0;0.00;0.22;56.73659;257.42383;18.81855;0.00000;0.06
17;2020;1;13;0;0.00;0.22;86.40000;2051.97900;79.33722;99.99766;0.31
19;2020;1;13;0;0.00;0.22;0.62949;0.00000;0.19404;0.00000;0.01
26;2020;1;13;0;0.00;0.22;369.10129;115.05170;121.93964;0.00000;0.89
2;2020;1;14;0;0.00;0.33;496.37753;10186.98828;292.18243;335.44318;1.04
4;2020;1;14;0;0.00;0.33;78.80286;153.09354;34.36323;0.00000;0.31
11;2020;1;14;0;0.00;0.33;0.00000;53.01545;53.01545;0.00000;0.00
13;2020;1;14;0;0.00;0.33;53.99460;219.98495;17.45075;0.00000;0.06
17;2020;1;14;0;0.00;0.33;84.84075;1949.56702;72.45365;88.61855;0.29
19;2020;1;14;0;0.00;0.33;0.00000;0.21572;0.21572;0.00000;0.00
26;2020;1;14;0;0.00;0.33;235.10635;0.00000;124.11050;0.00000;0.57
2;2020;1;15;0;0.00;0.65;487.23242;9665.21582;258.80093;277.46844;0.96
4;2020;1;15;0;0.00;0.65;71.81837;111.26668;32.33111;0.00000;0.28
11;2020;1;15;0;0.00;0.65;94.40485;0.00000;45.10526;0.00000;0.26
13;2020;1;15;0;0.00;0.65;51.06470;183.57036;16.31362;0.00000;0.05
17;2020;1;15;0;0.00;0.65;83.31278;1851.75171;65.96162;77.75020;0.27
19;2020;1;15;0;0.00;0.65;0.38261;0.00000;0.18348;0.00000;0.00
26;2020;1;15;0;0.00;0.65;0.00000;131.64832;131.64832;0.00000;0.00
2;2020;1;16;0;0.00;0.52;478.22308;9181.39844;230.60039;223.71094;0.88
4;2020;1;16;0;0.00;0.52;64.12660;76.08230;30.61634;0.00000;0.25
11;2020;1;16;0;0.00;0.52;0.00000;47.42979;47.42979;0.00000;0.00
13;2020;1;16;0;0.00;0.52;47.88757;149.69507;15.26245;0.00000;0.05
17;2020;1;16;0;0.00;0.52;81.80425;1760.27686;60.05125;67.58632;0.25
19;2020;1;16;0;0.00;0.52;0.00000;0.19441;0.19441;0.00000;0.00
26;2020;1;16;0;0.00;0.52;236.35916;0.00000;111.41161;0.00000;0.57
2;2020;1;17;0;0.00;0.14;469.58426;8742.17969;208.53795;174.90889;0.81
4;2020;1;17;0;0.00;0.14;56.03219;48.72215;29.06142;0.00000;0.22
11;2020;1;17;0;0.00;0.14;87.55110;0.00000;40.88327;0.00000;0.24
13;2020;1;17;0;0.00;0.14;44.54235;119.16760;14.32443;0.00000;0.05
17;2020;1;17;0;0.00;0.14;80.34627;1676.21973;55.09408;58.24663;0.23
19;2020;1;17;0;0.00;0.14;0.35826;0.00000;0.16726;0.00000;0.00
26;2020;1;17;0;0.00;0.14;0.00000;119.53750;119.53750;0.00000;0.00
2;2020;1;18;0;0.00;0.25;461.48364;8335.82812;190.59254;129.75870;0.74
4;2020;1;18;0;0.00;0.25;47.83311;28.01109;27.71307;0.00000;0.19
11;2020;1;18;0;0.00;0.25;0.00000;43.74369;43.74369;0.00000;0.00
13;2020;1;18;0;0.00;0.25;41.07831;91.38219;13.80045;0.00000;0.04
17;2020;1;18;0;0.00;0.25;78.96277;1597.60083;50.83067;49.51121;0.21
19;2020;1;18;0;0.00;0.25;0.00000;0.17998;0.17998;0.00000;0.00
26;2020;1;18;0;0.00;0.25;219.66531;0.00000;103.19238;0.00000;0.53
2;2020;1;19;0;0.00;0.32;453.75192;7961.83838;175.11847;88.20425;0.68
4;2020;1;19;0;0.00;0.32;39.30001;14.52250;26.43090;0.00000;0.15
11;2020;1;19;0;0.00;0.32;80.08633;0.00000;38.02202;0.00000;0.22
13;2020;1;19;0;0.00;0.32;37.38388;66.57970;13.17067;0.00000;0.04
17;2020;1;19;0;0.00;0.32;77.62767;1524.33191;46.95258;41.37022;0.20
19;2020;1;19;0;0.00;0.32;0.32853;0.00000;0.15607;0.00000;0.00
26;2020;1;19;0;0.00;0.32;0.00000;110.63077;110.63077;0.00000;0.00
2;2020;1;20;0;0.00;0.33;446.41815;7619.50195;161.63747;50.16689;0.62
4;2020;1;20;0;0.00;0.33;31.12583;8.06227;25.18080;0.00000;0.12
11;2020;1;20;0;0.00;0.33;0.00000;40.36080;40.36080;0.00000;0.00
13;2020;1;20;0;0.00;0.33;33.40931;45.18825;12.57087;0.00000;0.04
17;2020;1;20;0;0.00;0.33;76.34471;1456.34741;43.44027;33.81638;0.18
19;2020;1;20;0;0.00;0.33;0.00000;0.16668;0.16668;0.00000;0.00
26;2020;1;20;0;0.00;0.33;202.02412;0.00000;95.38748;0.00000;0.49
2;2020;1;21;0;0.00;0.79;439.50763;7297.68799;149.36121;14.40977;0.57
4;2020;1;21;0;0.00;0.79;25.25769;5.54140;23.72859;0.00000;0.10
11;2020;1;21;0;0.00;0.79;71.12230;0.00000;34.82710;0.00000;0.20
13;2020;1;21;0;0.00;0.79;29.11511;26.90837;11.97846;0.00000;0.03
17;2020;1;21;0;0.00;0.79;75.11820;1391.73328;40.09073;26.63704;0.17
19;2020;1;21;0;0.00;0.79;0.29200;0.00000;0.14355;0.00000;0.00
26;2020;1;21;0;0.00;0.79;0.00000;100.92336;100.92336;0.00000;0.00
2;2020;1;22;0;0.00;0.70;432.82629;6987.69092;138.08566;0.00000;0.54
4;2020;1;22;0;0.00;0.70;22.11003;4.76164;22.10961;0.00000;0.09
11;2020;1;22;0;0.00;0.70;0.00000;36.17410;36.17410;0.00000;0.00
13;2020;1;22;0;0.00;0.70;24.22137;13.24678;11.41354;0.00000;0.03
17;2020;1;22;0;0.00;0.70;73.91778;1332.12524;36.92907;20.01392;0.16
19;2020;1;22;0;0.00;0.70;0.00000;0.15017;0.15017;0.00000;0.00
26;2020;1;22;0;0.00;0.70;178.56601;0.00000;85.87533;0.00000;0.43
2;2020;1;23;0;0.00;0.78;426.20813;6673.01074;128.23557;0.00000;0.53
4;2020;1;23;0;0.00;0.78;20.95122;3.51147;20.52235;0.00000;0.08
11;2020;1;23;0;0.00;0.78;63.35892;0.00000;31.08886;0.00000;0.17
13;2020;1;23;0;0.00;0.78;18.83405;4.57912;10.90469;0.00000;0.02
17;2020;1;23;0;0.00;0.78;72.77805;1276.76379;34.13216;13.86265;0.14
19;2020;1;23;0;0.00;0.78;0.26147;0.00000;0.12884;0.00000;0.00
26;2020;1;23;0;0.00;0.78;0.00000;89.84732;89.84732;0.00000;0.00
2;2020;1;24;0;0.00;0.58;419.29327;6361.22168;119.71685;0.00000;0.53
4;2020;1;24;0;0.00;0.58;18.80430;3.32681;19.16733;0.00000;0.07
11;2020;1;24;0;0.00;0.58;0.00000;32.32232;32.32232;0.00000;0.00
13;2020;1;24;0;0.00;0.58;12.91757;1.74492;10.45961;0.00000;0.01
17;2020;1;24;0;0.00;0.58;71.68966;1226.42993;31.71384;8.26999;0.13
19;2020;1;24;0;0.00;0.58;0.00000;0.13488;0.13488;0.00000;0.00
26;2020;1;24;0;0.00;0.58;160.32880;0.00000;77.00917;0.00000;0.39
2;2020;1;25;0;0.00;0.61;412.23132;6048.84180;112.33028;0.00000;0.52
4;2020;1;25;0;0.00;0.61;18.44714;2.21940;17.89812;0.00000;0.07
11;2020;1;25;0;0.00;0.61;57.56416;0.00000;28.13843;0.00000;0.16
13;2020;1;25;0;0.00;0.61;9.17152;2.27008;9.97431;0.00000;0.01
17;2020;1;25;0;0.00;0.61;70.67337;1180.13965;29.64895;3.12662;0.12
19;2020;1;25;0;0.00;0.61;0.23900;0.00000;0.11716;0.00000;0.00
26;2020;1;25;0;0.00;0.61;0.00000;80.82166;80.82166;0.00000;0.00
2;2020;1;26;0;26.14;0.17;404.92834;11356.39062;5299.20605;465.37677;1.09
4;2020;1;26;0;26.78;0.17;15.97813;378.52899;356.76892;0.00000;0.06
11;2020;1;26;0;26.64;0.17;0.00000;251.29388;251.29388;0.00000;0.00
13;2020;1;26;0;27.32;0.17;10.06941;353.15262;338.11533;0.00000;0.01
17;2020;1;26;0;27.82;0.17;69.71469;2160.00000;901.48132;12.94189;0.14
19;2020;1;26;0;27.73;0.17;0.00000;1.41082;1.41082;0.00000;0.00
26;2020;1;26;0;27.69;0.17;215.85468;1135.42395;774.20819;0.00000;0.52
2;2020;1;27;0;10.76;0.19;506.39484;13440.00098;2442.14575;301.49023;1.01
4;2020;1;27;0;11.59;0.19;99.03603;532.94318;158.75261;0.00000;0.38
11;2020;1;27;0;11.43;0.19;198.17148;412.55939;172.64174;0.00000;0.55
13;2020;1;27;0;11.48;0.19;60.40795;506.09488;156.12607;0.00000;0.06
17;2020;1;27;0;11.66;0.19;86.40000;2160.00000;451.64951;448.40576;0.89
19;2020;1;27;0;11.55;0.19;0.99136;2.18951;0.82520;0.00000;0.01
26;2020;1;27;0;11.51;0.19;551.50238;1627.51172;520.10352;0.00000;1.33
2;2020;1;28;0;0.12;0.20;537.59998;12737.16992;453.34668;618.79669;1.45
4;2020;1;28;0;0.13;0.20;111.82447;467.19583;45.93379;0.00000;0.43
11;2020;1;28;0;0.13;0.20;236.30342;290.95389;114.43882;0.00000;0.65
13;2020;1;28;0;0.14;0.20;68.63834;459.12277;21.54495;0.00000;0.07
17;2020;1;28;0;0.15;0.20;86.40000;2160.00000;110.55997;24.36035;0.18
19;2020;1;28;0;0.15;0.20;1.15875;1.47077;0.43747;0.00000;0.01
26;2020;1;28;0;0.15;0.20;626.69220;1219.95996;217.80179;0.00000;1.52
2;2020;1;29;0;0.00;0.41;527.44708;12047.42676;390.68225;542.15851;1.34
4;2020;1;29;0;0.00;0.41;106.71816;398.84473;40.55636;0.00000;0.41
11;2020;1;29;0;0.00;0.41;208.75308;188.40556;110.48727;0.00000;0.58
13;2020;1;29;0;0.00;0.41;66.30557;410.60547;19.14850;0.00000;0.07
17;2020;1;29;0;0.00;0.41;86.40000;2160.00000;93.81306;5.64062;0.15
19;2020;1;29;0;0.00;0.41;1.00612;0.86642;0.42241;0.00000;0.01
26;2020;1;29;0;0.00;0.41;565.74194;859.74048;217.12849;0.00000;1.37
2;2020;1;30;0;0.00;0.53;517.12549;11388.73340;341.14038;468.97040;1.24
4;2020;1;30;0;0.00;0.53;100.89113;332.63196;37.35840;0.00000;0.39
11;2020;1;30;0;0.00;0.53;178.91112;111.09075;106.34888;0.00000;0.49
13;2020;1;30;0;0.00;0.53;63.72825;362.86841;17.68405;0.00000;0.07
17;2020;1;30;0;0.00;0.53;86.40000;2055.02173;84.05244;100.33574;0.31
19;2020;1;30;0;0.00;0.53;0.83381;0.42636;0.41590;0.00000;0.01
26;2020;1;30;0;0.00;0.53;499.65369;559.60742;212.79338;0.00000;1.21
2;2020;1;31;0;0.00;0.62;506.90631;10765.35742;298.87863;399.70636;1.14
4;2020;1;31;0;0.00;0.62;94.59461;269.63260;34.51441;0.00000;0.37
11;2020;1;31;0;0.00;0.62;148.31985;60.99670;102.80294;0.00000;0.41
13;2020;1;31;0;0.00;0.62;60.99274;316.36160;16.36817;0.00000;0.06
17;2020;1;31;0;0.00;0.62;84.88538;1953.96387;75.55411;89.10709;0.29
19;2020;1;31;0;0.00;0.62;0.64826;0.16661;0.40852;0.00000;0.01
26;2020;1;31;0;0.00;0.62;429.01361;323.04379;205.68929;0.00000;1.04
2;2020;2;1;0;0.00;0.49;496.87775;10185.05273;263.94455;335.22803;1.04
4;2020;2;1;0;0.00;0.49;87.80014;212.11688;32.43026;0.00000;0.34
11;2020;2;1;0;0.00;0.49;119.88712;37.01384;98.83430;0.00000;0.33
13;2020;2;1;0;0.00;0.49;58.09431;272.20090;15.35342;0.00000;0.06
17;2020;2;1;0;0.00;0.49;83.37943;1858.86719;68.86131;78.54079;0.27
19;2020;2;1;0;0.00;0.49;0.46440;0.09333;0.40247;0.00000;0.00
26;2020;2;1;0;0.00;0.49;352.99203;161.36664;199.94202;0.00000;0.85
2;2020;2;2;0;0.00;0.63;487.19958;9642.53906;235.06732;274.94882;0.96
4;2020;2;2;0;0.00;0.63;80.63197;159.37636;30.44557;0.00000;0.31
11;2020;2;2;0;0.00;0.63;100.40663;27.53880;94.11212;0.00000;0.28
13;2020;2;2;0;0.00;0.63;55.07511;229.72321;14.34200;0.00000;0.06
17;2020;2;2;0;0.00;0.63;81.91570;1768.52441;62.67044;68.50271;0.25
19;2020;2;2;0;0.00;0.63;0.37805;0.08852;0.38521;0.00000;0.00
26;2020;2;2;0;0.00;0.63;275.90338;72.32683;195.60323;0.00000;0.67
2;2020;2;3;0;0.00;0.80;477.82446;9137.38477;210.66948;218.82051;0.87
4;2020;2;3;0;0.00;0.80;72.85109;112.37556;28.77453;0.00000;0.28
11;2020;2;3;0;0.00;0.80;90.40160;21.80877;88.30029;0.00000;0.25
13;2020;2;3;0;0.00;0.80;51.85596;189.25174;13.46599;0.00000;0.05
17;2020;2;3;0;0.00;0.80;80.47970;1682.83069;56.99763;58.98119;0.23
19;2020;2;3;0;0.00;0.80;0.37102;0.06641;0.36380;0.00000;0.00
26;2020;2;3;0;0.00;0.80;207.51109;46.77306;190.28680;0.00000;0.50
2;2020;2;4;0;0.00;0.63;468.78391;8676.70605;190.52356;167.63399;0.80
4;2020;2;4;0;0.00;0.63;64.35274;73.13324;27.13999;0.00000;0.25
11;2020;2;4;0;0.00;0.63;83.21693;18.57118;82.60387;0.00000;0.23
13;2020;2;4;0;0.00;0.63;48.40851;152.18144;12.86493;0.00000;0.05
17;2020;2;4;0;0.00;0.63;79.07318;1603.09546;51.95334;50.12172;0.22
19;2020;2;4;0;0.00;0.63;0.33504;0.06647;0.34567;0.00000;0.00
