ID; Superficie [km2]; Width PHYSITEL [m]; Width SWAT [m]; Depth SWAT [m]
182; 5.348400; 1.39; 3.53; 0.25
183; 1.738400; 0.69; 1.80; 0.16
184; 1.429600; 0.61; 1.60; 0.15
185; 1.779200; 0.70; 1.82; 0.16
186; 0.596800; 0.36; 0.95; 0.11
187; 0.761600; 0.41; 1.10; 0.12
188; 0.447200; 0.30; 0.80; 0.09
189; 12.228000; 2.31; 5.79; 0.35
190; 0.359600; 0.26; 0.70; 0.09
191; 9.789600; 2.02; 5.07; 0.32
192; 0.474400; 0.31; 0.82; 0.10
193; 0.812400; 0.43; 1.14; 0.12
194; 0.308800; 0.24; 0.64; 0.08
195; 1.556400; 0.64; 1.68; 0.16
196; 0.090800; 0.11; 0.31; 0.05
