ETATS BILAN VERTICAL;BV3C2( 4.3.1.0000 )
DATE_HEURE;2020-01-01 00:00

UHRH;THETA 1;THETA 2;THETA 3;MH WETVOL
1;0.298353075981;0.360458791256;0.412000000477;-999.000000000000
2;0.299774289131;0.351954042912;0.412000000477;8603.668945312500
3;0.279841005802;0.316091358662;0.412000000477;-999.000000000000
4;0.355899542570;0.373872458935;0.412000000477;84.915733337402
5;0.300027459860;0.352441728115;0.412000000477;-999.000000000000
6;0.301192194223;0.354943633080;0.412000000477;-999.000000000000
7;0.250915199518;0.267153412104;0.387510567904;-999.000000000000
8;0.290798395872;0.335443466902;0.412000000477;-999.000000000000
9;0.292918801308;0.339232444763;0.412000000477;-999.000000000000
10;0.269970148802;0.299164175987;0.411430954933;-999.000000000000
11;0.266373991966;0.293208897114;0.408192008734;53.386363983154
12;0.355262935162;0.361254364252;0.412000000477;-999.000000000000
13;0.310200035572;0.398825228214;0.412000000477;104.510093688965
14;0.290829181671;0.335372567177;0.412000000477;-999.000000000000
15;0.248607262969;0.263365119696;0.382837861776;-999.000000000000
16;0.292265266180;0.338047444820;0.412000000477;-999.000000000000
17;0.285122931004;0.381446421146;0.412000000477;1504.798950195312
18;0.282099336386;0.320112198591;0.412000000477;-999.000000000000
19;0.267648249865;0.295391261578;0.409412711859;0.281525641680
20;0.245330542326;0.257660120726;0.374113708735;-999.000000000000
21;0.244583740830;0.256340235472;0.371649026871;-999.000000000000
22;0.278122484684;0.313236594200;0.412000000477;-999.000000000000
23;0.295521527529;0.344016134739;0.412000000477;-999.000000000000
24;0.243994474411;0.255280494690;0.369492113590;-999.000000000000
25;0.244265407324;0.255756556988;0.370485275984;-999.000000000000
26;0.277096778154;0.311578929424;0.412000000477;65.342948913574
27;0.286738157272;0.328178137541;0.412000000477;-999.000000000000
28;0.289056062698;0.332215696573;0.412000000477;-999.000000000000
29;0.245242074132;0.257495939732;0.373819082975;-999.000000000000
30;0.245285898447;0.257527530193;0.373880624771;-999.000000000000
31;0.243157058954;0.253591954708;0.365594238043;4.026842117310
32;0.243978336453;0.255035966635;0.369011133909;-999.000000000000
33;0.251344084740;0.268056869507;0.388478577137;-999.000000000000
34;0.243625640869;0.254600763321;0.368009388447;-999.000000000000
35;0.245466887951;0.257894277573;0.374528765678;-999.000000000000
36;0.244993209839;0.257061392069;0.373021364212;-999.000000000000
37;0.273214340210;0.304699480534;0.412000000477;-999.000000000000
38;0.292814612389;0.339161157608;0.412000000477;-999.000000000000
39;0.282476603985;0.320683985949;0.412000000477;-999.000000000000
40;0.246111214161;0.259045362473;0.376480489969;-999.000000000000
41;0.244744434953;0.256610095501;0.372175097466;0.721410274506
42;0.243993446231;0.255255252123;0.369435936213;0.000000000000
43;0.293961286545;0.341153651476;0.412000000477;-999.000000000000
44;0.290097117424;0.334152698517;0.412000000477;-999.000000000000
45;0.295568406582;0.344078302383;0.412000000477;-999.000000000000
46;0.287357062101;0.329219877720;0.412000000477;-999.000000000000
47;0.272815376520;0.304342627525;0.412000000477;-999.000000000000
48;0.256573617458;0.276842802763;0.396913439035;-999.000000000000
49;0.245559737086;0.258043617010;0.374787151814;3.772741317749
50;0.296829789877;0.346415281296;0.412000000477;-999.000000000000
51;0.289854466915;0.333690524101;0.412000000477;-999.000000000000
52;0.284633636475;0.366881549358;0.412000000477;-999.000000000000
53;0.296591401100;0.345979839563;0.412000000477;-999.000000000000
54;0.250211328268;0.266151607037;0.386303395033;-999.000000000000
55;0.248378783464;0.262996912003;0.382334023714;-999.000000000000
56;0.244304165244;0.255838394165;0.370649844408;-999.000000000000
57;0.243439048529;0.254274398088;0.367258667946;-999.000000000000
58;0.247730672359;0.261880040169;0.380791187286;-999.000000000000
59;0.244586348534;0.256344944239;0.371658146381;-999.000000000000
60;0.301484644413;0.355770587921;0.412000000477;-999.000000000000
61;0.284790784121;0.324682235718;0.412000000477;-999.000000000000
62;0.243696987629;0.254742503166;0.368323028088;-999.000000000000
63;0.357841342688;0.390970468521;0.412000000477;-999.000000000000
64;0.246965378523;0.260506540537;0.378776639700;-999.000000000000
65;0.338627487421;0.374160796404;0.412000000477;-999.000000000000
66;0.279237717390;0.315038681030;0.412000000477;-999.000000000000
67;0.338881433010;0.374123543501;0.412000000477;-999.000000000000
68;0.297918409109;0.348419964314;0.412000000477;-999.000000000000
69;0.291886448860;0.337288916111;0.412000000477;-999.000000000000
70;0.255153298378;0.274513155222;0.394872933626;25.851993560791
71;0.296739578247;0.346238970757;0.412000000477;-999.000000000000
72;0.297500908375;0.360858827829;0.412000000477;-999.000000000000
73;0.308820843697;0.402261018753;0.412000000477;-999.000000000000
74;0.333265572786;0.370763659477;0.412000000477;-999.000000000000
75;0.246700868011;0.260074317455;0.378121584654;0.881833016872
76;0.252923190594;0.270671933889;0.391236960888;-999.000000000000
77;0.287144988775;0.328808605671;0.412000000477;-999.000000000000
78;0.243540555239;0.254458814859;0.367683589458;-999.000000000000
79;0.243925690651;0.255147635937;0.369210004807;-999.000000000000
80;0.243759319186;0.254848361015;0.368556886911;0.149920195341
81;0.297377407551;0.347459673882;0.412000000477;-999.000000000000
82;0.258922010660;0.280539244413;0.399877458811;-999.000000000000
83;0.244220122695;0.255682408810;0.370333969593;-999.000000000000
84;0.246318861842;0.259395718575;0.377049744129;-999.000000000000
85;0.243695735931;0.254724502563;0.368280768394;0.000000000000
86;0.263033390045;0.287299454212;0.404713362455;-999.000000000000
87;0.262696206570;0.287114232779;0.404476076365;-999.000000000000
88;0.283032536507;0.369026899338;0.412000000477;-999.000000000000
89;0.240626618266;0.249107226729;0.350352495909;-999.000000000000
90;0.288319230080;0.330915480852;0.412000000477;-999.000000000000
91;0.239898294210;0.247786119580;0.345163077116;-999.000000000000
92;0.290345847607;0.334589362144;0.412000000477;-999.000000000000
93;0.257516086102;0.278466045856;0.398225784302;-999.000000000000
94;0.262845873833;0.287352114916;0.404633045197;-999.000000000000
95;0.239065721631;0.246286660433;0.339478284121;-999.000000000000
96;0.291948199272;0.337504476309;0.412000000477;-999.000000000000
97;0.255936831236;0.275792479515;0.396001696587;-999.000000000000
98;0.252560198307;0.270094752312;0.390657842159;-999.000000000000
99;0.242335841060;0.252004683018;0.361205816269;8.937540054321
100;0.383125662804;0.384999990463;0.384999990463;3830.377197265625
101;0.383480280638;0.384999990463;0.384999990463;10117.261718750000
102;0.383302330971;0.384999990463;0.384999990463;2097.634521484375
103;0.381828367710;0.384999990463;0.384999990463;-999.000000000000
104;0.382253319025;0.384999990463;0.384999990463;-999.000000000000
105;0.382704943419;0.384999990463;0.384999990463;-999.000000000000
106;0.382830590010;0.384999990463;0.384999990463;-999.000000000000
107;0.382853507996;0.384999990463;0.384999990463;-999.000000000000
108;0.383488476276;0.384999990463;0.384999990463;544.226074218750
109;0.382963418961;0.384999990463;0.384999990463;-999.000000000000
110;0.381938695908;0.384999990463;0.384999990463;-999.000000000000
111;0.382647126913;0.384999990463;0.384999990463;-999.000000000000
112;0.382412582636;0.384999990463;0.384999990463;-999.000000000000
113;0.382758468390;0.384999990463;0.384999990463;-999.000000000000
114;0.381905555725;0.384999990463;0.384999990463;-999.000000000000
115;0.383517950773;0.384999990463;0.384999990463;-999.000000000000
116;0.382874667645;0.384999990463;0.384999990463;-999.000000000000
117;0.382571518421;0.384999990463;0.384999990463;-999.000000000000
