ETATS ACHEMINEMENT RIVIERE;ONDE CINEMATIQUE MODIFIEE( 4.3.1.0000 )
DATE_HEURE;2020-07-01 00:00

TRONCON;DEBIT AMONT;DEBIT AVAL;APPORTLAT;HAUTEUR
1;0.543232262135;0.564353525639;0.016932547092;0.103150859475135803223
2;0.543176889420;0.543232262135;0.000001318717;0.100969217717647552490
3;0.000000000000;0.002452515997;0.002452515997;0.034060470759868621826
4;0.539681732655;0.540724396706;0.000423421036;0.100719727575778961182
5;0.014785765670;0.014796187170;0.000010420743;0.039716154336929321289
6;0.000000000000;0.014770649374;0.014770647511;0.090312056243419647217
7;0.000000000000;0.000015116339;0.000015116340;0.009188596159219741821
8;0.516104578972;0.524885535240;0.005025748163;0.099088951945304870605
9;0.000000000000;0.000153936446;0.000153936373;0.009413491003215312958
10;0.515190780163;0.515950620174;0.000116076291;0.098192565143108367920
11;0.000000000000;0.001037772163;0.001037771930;0.020025443285703659058
12;0.513299584389;0.514153003693;0.000084626612;0.098046727478504180908
13;0.000000000000;0.000064130203;0.000064130159;0.004188652150332927704
14;0.511096537113;0.513235449791;0.000805626041;0.073440060019493103027
15;0.000000000000;0.000043178825;0.000043178781;0.005564427468925714493
16;0.510987579823;0.511053383350;0.000000000000;0.097810685634613037109
17;0.509020984173;0.510828733444;0.000248259021;0.097784884274005889893
18;0.000000000000;0.000223345225;0.000223345181;0.006958789192140102386
19;0.506365180016;0.508797645569;0.000254815735;0.097640700638294219971
20;0.502734184265;0.504532635212;0.000219923269;0.097297333180904388428
21;0.000000000000;0.000158684721;0.000158684721;0.005065618548542261124
22;0.501730501652;0.502575516701;0.000098165918;0.097130157053470611572
23;0.000140474891;0.000143743964;0.000003268848;0.004018368199467658997
24;0.000000000000;0.000062067571;0.000062065999;0.006809392478317022324
25;0.000000000000;0.000078407320;0.000078404897;0.008419849909842014313
26;0.500373601913;0.501586735249;0.000153599394;0.066902481019496917725
27;0.000000000000;0.000367422035;0.000367421977;0.015819653868675231934
28;0.499341338873;0.500006198883;0.000108843815;0.096920996904373168945
29;0.491888076067;0.497518837452;0.002129159402;0.096661075949668884277
30;0.000000000000;0.001785660745;0.001786241191;0.008250206708908081055
31;0.486586034298;0.490102410316;0.001060373150;0.095941238105297088623
32;0.000000000000;0.000345944456;0.000345944456;0.008702011778950691223
