ETATS ACHEMINEMENT RIVIERE MILIEUX HUMIDES RIVERAIN;ONDE CINEMATIQUE MODIFIEE( 4.3.1.0000 )
DATE_HEURE;2020-07-01 00:00

TRONCON;WET V;WET A;WET D;OCM QAMONT 1;OCM QAPPORTLAT 1;OCM QAVAL 1;OCM QAMONT 2;OCM QAPPORTLAT 2;OCM QAVAL 2;OCM QAMONT 3;OCM QAPPORTLAT 3;OCM QAVAL 3
1;2047.857543945312;10239.748046875000;0.199991002679;0.543232262135;0.011189585552;0.558610677719;0.558610677719;0.005663268734;0.564353525639;0.564353525639;0.000000000000;0.564353525639
64;0.001000000047;31.271223068237;0.000031978278;0.292669266462;0.000230106816;0.295666813850;0.295666813850;0.000026174694;0.295693010092;0.295693010092;0.000000000000;0.295693010092
72;0.033997163177;237.707962036133;0.000143020705;0.248134434223;0.003850389505;0.260975688696;0.260975688696;0.000148582010;0.261124283075;0.261124283075;0.000000000000;0.261124283075
73;0.001000000047;112.223091125488;0.000008910823;0.008095035329;0.000092702277;0.008189627901;0.008189627901;0.000389946974;0.008579575457;0.008579575457;0.000000000000;0.008579575457
74;0.001000000047;50.205657958984;0.000019918074;0.006709317211;0.000020134532;0.006731860805;0.006731860805;0.000011082042;0.006742942613;0.006742942613;0.000000000000;0.006742942613
76;0.001000000047;289.951263427734;0.000003448855;0.000000000000;0.000988437445;0.000988437328;0.000988437328;0.000219617737;0.001208055066;0.001208055066;0.000000000000;0.001208055066
77;0.605184078217;702.467041015625;0.000861512381;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000105180210;0.000105180203;0.000105180203;0.001428069896;0.001533347182
78;9.169631004333;2347.630371093750;0.003905909602;0.000000000000;0.000403837941;0.000403838261;0.000403838261;0.000352956500;0.000756794761;0.000756794761;0.001390048419;0.002161763143
79;0.001000000047;517.347045898438;0.000001932938;0.000000000000;0.001043335185;0.001043335302;0.001043335302;0.000308757357;0.001352092717;0.001352092717;0.000000000000;0.001352092717
80;56.067333221436;4859.932128906250;0.011536650360;0.225142076612;0.003432986559;0.238386318088;0.238386318088;0.001168535324;0.239554852247;0.239554852247;0.000000000000;0.239554852247
